,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M2_01_005,dan omme weelde ende om ghewin,None,dan weelde ende ghewin,None,None,dan op weelde ende ghewin:,None,None,dan op weelde ende ghewin,dan weelde ende gewin:,dan op weelde ende gewin,None,dan op welde ende op ghewin,dan om weelde ende ghewin,None,None,None
M2_01_006,wiltu di dus versmoren,None,wiltu di dus versmoren,None,None,wiltu di dus versmoren,None,None,wiltu dij dus versmoren,wiltu di dus versmoren:,wiltu di dus versmoren,None,wiltu di aldus versmoren,wiltstu di dus versmoren,None,None,None
M2_01_007,waert al dijn dat comt int swin,None,wair al di dat comt int zwin,None,None,al waert al dijn dat comt int zwint.,None,None,alwaert al diin dat comt int zwijn,al waert al dine dat comt in tswin:,alwaert dijn dat comt int tswin,None,al waert al dine dat comt int swin,al waert al dijn dat comt in zwin,None,None,None
M2_01_008,gout seluer stael loet yser tin,None,goud suluer loot ende tin,None,None,gout siluer loet stael yser tin,None,None,gout siluer loot yser tin,gout seluer stael loet ende tin:,gout siluer loed iser tin,None,gout seluer loot yser tin,goud zeluer stael yser tyn,None,None,None
M2_01_009,so bleuestu verloren,None,so bleuestu verloren,None,None,nochtan bliuense verloren,None,None,nochtan bleuestu verloren,so bleefstu verloren:,None,None,soe bleefstu verloren,so bleefstu verlooren,None,None,None
M2_01_010,daetstu ter doghet gheen beghin,None,daetstu ter doghet gheen beghin,None,None,daedstu der duecht gheen beghin,None,None,hadstu der doghet gheen beghin,en daedstu ter doget geen begin:,None,None,None,daetstu ter dueghet gheen ghewin,None,None,None
M2_01_011,hef vp dijn houet ende dinen kin,None,hef op dijn hooft ende dinen kin,None,None,heft op dijn hoeft ende dijn kin/,None,None,heft op diin hoot ende diin kin,hef op dijn hoeft ende dinen kin:,None,None,hef op dijn hoet dinen kin,heft vp dijn hoeft ende dijnen kyn,None,None,None
M2_01_012,tontijt waerstu gheboren,None,tontijt waerstu gheboren,None,None,tontide waerstu gheboren,None,None,tontide waerstu gheboren,tontide wordstu geboren:,None,None,tontide waerstu geboren,tontide waerstu ghebooren,None,None,None
M2_01_013,heuestu dat dichten verzworen,None,hebstu dichtens verzworen,None,None,hebstu dichten versworen/,None,None,hebdi dichtens verzworen,heefstu dichten versworen:,None,None,heeftu dichtens versworen,hebstu dichten verzworen.,None,None,None
M2_02_014,iacop du woens inden dam,None,iacop du woens in den dam,None,None,iacop du woens inden dam,None,None,iacob du wones inden dam,iacob du woens in den dam:,None,None,iacop du woens inden dam,iacob du woens in den dam,None,None,None
M2_02_015,ende ic te dorderecht dies bem ic gram,None,ende ic tutrecht dies bin ic gram,None,None,ende ick tutrecht des ben ick gram,None,None,ende ic tutrecht des ben ic gram,ende ic tuutrecht des benic gram:,None,None,ende ic tutrecht des benic gram,ende ic tutrech dies ben ic gram,None,None,None
M2_02_016,dat wi dus sijn versceeden,None,dat wi dus zijn versceden,None,None,dat wi dus sijn ghescheden,None,None,dat wij dus siin verscheeden,dat wi dus sijn versceeden:,None,None,dat wi dus sijn verscheeden,dat wi dus zijn versceeden,None,None,None
M2_02_017,weetstu wat mi oit mesquam,None,weetstu wat my meest misquam,None,None,weetti wes mi meest mesquam.,None,None,wetti watter mi ane mesquam,wetti watter mi meest af mesquam:,None,None,wetti wat mi meest mesquaem,weet di wat my meest mesquam,None,None,None
M2_02_018,dat ic bate noch nie vernam,None,dats dat ic noyt bate vernam,None,None,dat ick noyt baet en vernam,None,None,dat ic noyt bate en vernam,dat ic noyt bate en vernan:,None,None,dat ic noeyt bate en vernaem,dat ic noyt bate en vernam,None,None,None
M2_02_019,ant dichten van ons beeden,None,an dichten van ons beden,None,None,aent dichten van ons beeden/,None,None,aent dichten van ons beeden,aent dichten van ons beeden:,None,None,aent dichten van ons beeden,an tdichten van ons beeden,None,None,None
M2_02_020,so es mi die sin worden so lam,None,so es mi de zin worden so lam,None,None,soe is mijn sin worden soe lam,None,None,so es mijn sin worden soe lam,dies es mijn sin worden so lam:,None,None,soe es mijn sin woorden soe lam,zo es my die zin worden zo lam,None,None,None
M2_02_021,dat icker node weder an quam,None,dat icker node weder anquam,None,None,dat icker noode weder anquam:,None,None,dat icker node weder aen quam,dat icker vele te noedere ane quam:,None,None,dat icker noede weder aen quaem,dat icker node weder an cam,None,None,None
M2_02_022,dit deet mi verleeden,None,dat deit mi verleden,None,None,dat doet my verleeden,None,None,dit doet mi verleeden,dit deedt mi verleeden:,None,None,dit doet mi verleeden,dit doet my verleeden,None,None,None
M2_02_023,du wecs mi alse een stotel ram,None,du weex mi als een slotel ram,None,None,du wrecs mi als een ghestoten ram,None,None,du wecs mi als een stotel ram,du wecs mi als een stoetende ram:,None,None,du wecs mi als .i. stotel ram,du wets my als een stotel ram,None,None,None
M2_02_024,al bestu wilt du werts tam,None,al bistu wilt du warts noch tam,None,None,bistu wilt du wordes tam,None,None,bestu wilt du worts noch tam,bestu wilt so werde tam:,None,None,sidi wilt ghi wert noch tam,bestu wilt du worts noch tam,None,None,None
M2_02_025,leere dine worden cleeden,None,lere dijn worden cleden,None,None,leert dine woerden cleeden,None,None,leere dine woirde cleeden,leere dine woerde cleeden:,None,None,leere dine woorde cleeden,leere dine woorden cleden,None,None,None
M2_02_026,soetelike ende ghereeden,None,soetelike ende ghereden,None,None,soetelike ende reeden/,None,None,soetelijc ende ghereeden,soetelec ende beleeden:,None,None,soetelike ende ghereeden,soetelike ende ghereden,None,None,None
M2_03_027,martijn vrient hebbic messeit,None,mairtin vrient heb ic messeit,None,None,martijn vrient heb ick misseyt,None,None,merten vrient heb ic messeit,mertijn vrient hebbic messeit:,None,None,merten vrient hebbic messeit,martin vriend heb ic messeit,None,None,None
M2_03_028,ic bems te beterne ghereit,None,jc bens te beter ghereit,None,None,ick bens te beeteren bereyt,None,None,ic bins te beteren bereit,jc beens te beterne bereit:,None,None,ic bens te betren gereit,te beterene ben icx bereit,None,None,None
M2_03_029,ic wils al vp hu bliuen,None,jc wils al op di bliuen,None,None,ick wils al op di bliuen,None,None,is wils al op dy bliuen,jc wils al op di bliuen:,None,None,ic wils al op di bliuen,jc wils al vp di bliuen,None,None,None
M2_03_030,maer verstant mi ende ontbint,None,mer verstaet mi ende onbeyt,None,None,maer verstant ende ontbeyt.,None,None,maer verstant mi ende ontbeit,maer verstaet mi ende ontbeit:,None,None,maer verstant mi ende ontbeit,maer verstant my ende ontbeit,None,None,None
M2_03_031,eene dinc die mi vp therte leit,None,een dinc die mi jnt harte leit,None,None,een dinck mi opt therte leyt.,None,None,een dinc die mi opt herte leit,een dinc dat mi op therte leit:,None,None,een dinc dat mi opt herte leit,eene dijnc die my vp therte leit,None,None,None
M2_03_032,die willic hu bescriuen,None,willic die bescriuen,None,None,wil ick di bescriuen,dat wil ic v bescriuen,None,willic dij bescriuen/,willic di bescriuen:,None,None,willic di bescriuen,wille ic di bescriuen,None,None,None
M2_03_033,daer hare die weerelt mede meit,None,dair hair die werelt mede meit,None,None,daer haer die werelt mede meyt.,None,None,daer hier die werelt mede meyt,daer hare die werelt mede vermeit:,None,None,daer haer die werelt mede meit,daer haer die weerelt mede meyt,None,None,None
M2_03_034,ne dade dat lief worde leit,None,ne wair ooc dat. lief wair leit,None,None,en dade dat lief waer leyt,ende dade dat lief ware leyt,None,en dade dat/ lief waer leyt,en daedt dat lief worde leit:,None,None,ende daede dat lief ware leit,en dade dat lief waere leyt,None,None,None
M2_03_035,ende dats minne van wiuen,None,ende dats minne van wiuen,None,None,dats minne van wiuen,dats minne van wiuen,None,dats minne van wiuen,ende dats minne van wiuen:,None,None,ende dats minne van wiuen,ende dat es minne van wiuen,None,None,None
M2_03_036,wat dat es in dese weerelt breit,None,wat dat es in die werelt breit,None,None,al dat is in die werelt breyt.,al dat is inde werelt breyt,None,al dat is in die werelt breyt/,al dat es in die werelt breit:,None,None,wat dat inde werelt steit,al dat es in die weerelt breit,None,None,None
M2_03_037,steden bosch berch ende preit,None,steden burghen busschen preit,None,None,steden borch bosch ende preyt,steden/borgen/bosscen preyt,None,stede bossche borghe preit/,stede bosche borge ende preit:,None,None,steden borghe bossche preit,steden borghen bosschen preit,None,None,None
M2_03_038,soude men verdriuen,None,soudemen verdriuen,None,None,soudemen verdriuen/,soudemen verdriuen,None,soudemen verdriuen/,soudemen verdriuen:,None,None,soude men verdriuen,soude minne verdriuen,None,None,None
M2_03_039,wildemen minne ontliuen,None,wildemen minnen ontliuen,None,None,wildemen minne ontliuen,wildemen minne ontlijuen,None,woudemen minne ontliuen,constemen minne ontliuen:,None,None,woude men minne ontliuen,wilde mense ontliuen,None,None,None
M2_04_040,so jacop dit was oint dijn doen,None,iacop dit was oyt dijn doen,None,None,iacop dit was oyt dijn doen.,iacop dit was oyt dijn doen,None,iacob dit was oyt diin doen,iacob dit was oyt u doen:,None,None,iacop dit was oeyt dijn doen,iacob dit was oyt dijn doen,None,None,None
M2_04_041,van vrouwen moeste dijn sermoen,None,van vrauwen moetstu dijn sermoen,None,None,dattu van vrouwen dijn sermoen,dat van vrouwen v sermoen,None,dat van vrouwen diin sermoen,van vrouwen te makene dijn sermoen:,None,None,van vrouwen te maken dijn sermoen,van vrouwen dijn sermoen,None,None,None
M2_04_042,of beghinnen of enden,None,altois begonnen of eynden,None,None,beghinnen moets oft eynden,beghinnen moet oft eynden,None,beghinnen meest oft eynden,oft beginnen oft inden:,None,None,beghinnen ofte inden,beghinnen ofte henden,None,None,None
M2_04_043,waerstu een dorper du spraex van coen,None,wairstu een dorper du spraex van koen,None,None,waerstu een dorper du spraecs van coen,None,None,waerstu een dorper du sprakes van coen,warstu een dorpere du spraecs van coen:,None,None,waerstu een dorper du spraecs van coen,waerstu een dorper du spraecs van coen,None,None,None
M2_04_044,nu es dine herte dies ontfloen,None,nu es dine herte dies ontuloen,None,None,nv is dijn herte des ontuloen,nv es v herte dus ontuloen,None,nu es diin herte dus ontvloen,nu es dijn herte dies ontfloen:,None,None,nv es dijn herte des ontvloen,nu es dijn herte dies ontfloen,None,None,None
M2_04_045,doch willix mi ghenenden,None,doch wil ics mi ghenenden,None,None,doch wil icx mi gheuenden,doch wil icx mi ghenenden,None,doch willics mi ghenenden,noch willics mi geninden:,None,None,doch willics mi ghenenden,doch wille icx my ghenenden,None,None,None
M2_04_046,ende steken af minen caproen,None,ende wille of steken mijn caproen,None,None,ende striken af minen caproen,ende strijcken af minen caproen,None,ende steken off minen caproen,ende steken af minen caproen:,None,None,ende steken af minen caproen,ende steken af minen caproen,None,None,None
M2_04_047,ende horen watti hier toe spoen,None,ende wat di hier toe spoen,None,None,ende horen watti hier toe spoen,None,None,ende horen watti hier toe spoen,ende horen watti hiertoe spoen:,None,None,ende hoeren watti hier toe spoen,ende horen wat di hier toe spoen,None,None,None
M2_04_048,dattu den onbekenden,None,dattu den onbekenden,None,None,dattu den onbekenden.,dat ghi den onbekenden,None,dattu den ombekenden,dat du den onbekinden:,None,None,dattu den ombekinden,dattu den onbekenden,None,None,None
M2_04_049,martine niene laets gheroen,None,maertin niet laets geroen,None,None,martijn niet en laets gheroen,martijn niet en laet gheuroen,None,merten. niet en laet gheroen,mertene niet en laets geroen:,None,None,merten niet en laet gheroen,martine niet en laets gheroen,None,None,None
M2_04_050,al haddic ane .ii. yserine scoen,None,al haddic an twe yseren scoen,None,None,al had ick an twee yseren schoen,None,None,al haddic aen twee yseren schoen,alhaddic ane .ij. yseren scoen:,None,None,al haddic aen ij. yseren scoen,al hadde ic an twe yserin scoen,None,None,None
M2_04_051,in mochtu niet ontwenden,None,en mochte di niet ontwenden,None,None,ick en mocht v niet ontwenden,ic en mocht v niet ontwenden,None,en mocht dij niet ontwenden,jc en mochte di niet ontwinden:,None,None,en mochte di niet ontwinden,jc en mochte di niet ontwenden,None,None,None
M2_04_052,nu sprec ic saelt ontbenden,None,nu vrach ic sal onbenden,None,None,nu vraecht ick sal ontbenden,nv vraecht ic sal ontbenden,None,nu vraecht ende ic saelt ontbenden,nu vraecht ic saelt ontbinden:,None,None,nv vraecht ic sal ontbinden,nu vraech ic salt ontbenden,None,None,None
M2_05_053,martijn du sout mi verstaen,None,mairtijn du salt mi verstaen,None,None,martijn du sulste my verstaen/,None,None,merten du salt mi verstaen,merten du sels verstaen:,None,None,merten du sout mi verstaen,martin du zuls my verstaen,None,None,None
M2_05_054,eene vrouwe wel ghedaen,None,ene vrouwe wel gedaen,None,None,een vrouwe wel ghedaen,None,None,eene vrouwe wel gedaen,ene vrouwe wel gedaen:,None,None,een vrouwe wel gedaen,eene vrauwe wel ghedaen,None,None,None
M2_05_055,heuet mi gheuaen met minnen,None,heeft mi beuaen mit minnen,None,None,heeft my beuaen met minnen,None,None,heeft mi beuaen met minnen,heeft mi bevaen met minnen:,None,None,None,heeft my gheuaen met minnen,None,None,None
M2_05_056,al dat gode es onderdaen,None,al dat goede es ende daen,None,None,al dat god was onderdaen/,None,None,al dat gode es onderdaen,al dat gode es onderdaen:,None,None,aldat gode es onder daen,al dat gode es onderdaen,None,None,None
M2_05_057,lietic al om hare gaen,None,lietic om hare gaen,None,None,liet ick om haerre wille gaen,None,None,lietic om haren wille gaen,hetic dore haren wille gaen:,None,None,lietic al omme hare gaen,liet ic om haeren wille gaen,None,None,None
M2_05_058,mochticse ghewinnen,None,mochte icse ghewinnen,None,None,mocht icse ghewinnen,None,None,mochticse ghewinnen,mochticse gewinnen:,None,None,mochticse gewinnen,mochte icse ghewinnen,None,None,None
M2_05_059,nochtan weetic wel sonder waen,None,nochtan wetic sonder waen,None,None,nochtan weet ick sonder waen,None,None,nochtan ly ic sonder waen,nochtan weetic sonder waen:,None,None,nochtan wetic sonder waen,nochtan weet ic wel zonder waen,None,None,None
M2_05_060,dat soe mijns niet en acht .i. spaen,None,dat si mijns niet acht een spaen,None,None,dat si mijns niet en acht een spaen,None,None,sine acht mijns niet een spaen,sine gaue on mi niet een spaen:,None,None,dat si mijns niet en acht i spaen,dat zij my niet en acht een spaen,None,None,None
M2_05_061,mijn herte doet mi bekinnen,None,mine harte doet mi bekennen,None,None,mijn hert doet my bekinnen,None,None,mijn sin doet mi bekinnen,mijn herte doedt mi bekinnen:,None,None,mijn sin doet mi bekinnen,mijn herte dat doet my bekinnen,None,None,None
M2_05_062,al souder omme die weerelt vergaen,None,alle zouder omme die werelt vergaen,None,None,al souder die werelt om vergaen,None,None,al souder die werelt om vergaen,al souder die werelt om vergaen:,None,None,al souder die werelt omme vergaen,al souder de weerelt omme vergaen,None,None,None
M2_05_063,dat soe mi niet en soude ontfaen,None,dat soe mi niet soude ontfaen,None,None,dat si mi niet en soude ontfaen,None,None,sine soude mi niet ontfaen,dat si mi niet en soude ontfaen:,None,None,si en soude mi niet ontfaen,dat zij my niet en zoude ontfaen,None,None,None
M2_05_064,in hare herte binnnen,None,jn hare harte binnen,None,None,in haer herte binnen,None,None,in haer herte binnen/,jn haer herte binnen:,None,None,in haer herte binnen,jn haer herte binnen,None,None,None
M2_05_065,hier toe nes gheen verwinnen,None,hier toe nes gheen verwinnen,None,None,hier toe en is gheen versinnen,None,None,hier toe en es gheen verwinnen,hier toe en es geen verwinnen:,None,None,hier toe es gheen verwinnen,hier toe en es gheen verwinnen,None,None,None
M2_06_066,eene ander vrouwe es die mi mint,None,een ander vrauwe es die mi mint,None,None,een ander vrou is die my mint.,None,None,een ander vrouwe es die mi mint,een ander vrouwe es die mi mint:,None,None,een ander vrouwe es die mi mint,eene ander vrauwe es die my mint,None,None,None
M2_06_067,bouen al dat so leuende kint,None,bouen al dat soe leuende kint,None,None,bouen al dat sy leuende kent,None,None,bouen al dat sij leuende kint,bouen al dat si leuende kint:,None,None,bouen al dat si leuende kint,bouen alle die zij leuende kint,None,None,None
M2_06_068,met ghestader trouwen,None,mit ghestader trouwe,None,None,met ghestadigher trouwen,None,None,met ghestader trouwen,met gestader trouwen:,None,None,met gestaeder trouwen,met ghestadigher trauwen,None,None,None
M2_06_069,die mi gheprijst es niet .i. twint,None,die in my gheprijst es niet j. twint,None,None,die mijn gheprijs en heuet twint,None,None,die in mi gheprijst es twint,die in minen prijs en mach twint:,None,None,die niet mi geprijst es twint,die en minne ic niet een twint,None,None,None
M2_06_070,maer die scoenste die men vint,None,mar de scoenste diemen vint,None,None,maer sy is die schoenste diemen vint,None,None,sij es die scoenste diemen vint,maer si es die scoenste die men vint:,None,None,maer die scoenste die men vint,zij es de scoonste die men vint,None,None,None
M2_06_071,ende bloeme van allen vrouwen,None,ende blome bouen allen vrouwen,None,None,ende bloem bouen alle vrouwen.,None,None,ende spiegel van alle vrouwen,ende spiegel van allen vrouwen:,None,None,ende spiegel van allen vrouwen,ende speghel van allen vrauwen,None,None,None
M2_06_072,nu es mijn herte so hart .i. vlint,None,nu es mijn harte so hart j. blint,None,None,nv is mijn herte soe een glint,None,None,nu es mijn herte soe verblint,nu es mijn herte so vaste een vlint:,None,None,mijn herte dat es soe hart twint,nu es mijn herte zo hart een vlint,None,None,None
M2_06_073,dat soe hare jet daer toe verbint,None,dat so hair dair toe yet verbint,None,None,dat hem daer toe niet verbint/,None,None,dat sij haer dair toe niet verbint,dat si hare daer toe niet en verbint:,None,None,mijn herte es soe verblent,dat het daer toe hem yet verbint,None,None,None
M2_06_074,dat soese wille scouwen,None,dat soese yet wille scouwen,None,None,dat hyse yet wille scouwen,dat icse yet wille scouwen,None,dat sijse yet wille scouwen,dat sise iet wille scouwen:,None,None,dat icse niet en wille scouwen,dat haer wille scauwen,None,None,None
M2_06_075,hoe lieue vpsien soe mi toe sint,None,hoe lieff zoe mi toezint,None,None,hoe lief opsien si my toesint/,hoe lief opsien / si mi toe sindt,None,hoe lief opsien zij mi toe sint,hoe lief op sien si mi toe sint:,None,None,hoe lief op sien si mi toe sent,hoe lief vpsien zij my toesint,None,None,None
M2_06_076,het dinct mire herte sijn .i. wint,None,het dinct mire harten zijn al wint,None,None,het dunct mijnre herten al wint.,None,None,het dunct mijnre herte zijn wijnt,het dunct mi algader wint:,None,None,dat het mi al duncket wint,het dijnct mijnre herten zijn een wint,None,None,None
M2_06_077,soe liete hare eer bedouwen,None,soe liet hair eer in stucken houwen,None,None,si liet haer in stucken houwen,None,None,sij liet haer eer te stucken houwen,si liet hare eer in stucken houwen:,None,None,si liet haer eer te stucken houwen,zij liet haer eer an sticken hauwen,None,None,None
M2_06_078,eer soere omme quame in rouwen,None,eer soer omme quame in rauwen,None,None,eer sy daer om quame in rouwen,None,None,eer zire om quame in rouwen,eer siere iet om quame in rouwen:,None,None,eer siere omme quaem in rouwen,eer zijer om quame in rauwen,None,None,None
M2_07_079,martin nv hore ende verstant,None,mairtin nu hore ende verstant,None,None,martijn hoert ende verstant.,martijn hoort ende verstant,None,merten hore ende verstant,mertijn nu hore ende verstant:,None,None,merten hore ende verstant,martin nu hore ende verstant,None,None,None
M2_07_080,dese twee sijn in een bewant,None,dese twe zijn in een bewant,None,None,dese twee sijn in een bedwant,dese twee sijn in een verbant,None,dese .ij. siin in een bewant,dese .ij. sijn in een bewant:,None,None,dese .ij. sijn in i bewant,de twe zijn in een verbant,None,None,None
M2_07_081,dat costen moet seens leuen,None,dat costen moet des eens leuen,None,None,dat costen moet der eenre tleuen.,None,None,dat costen moet der eenre dleuen,dat costen moet der eere dleuen:,None,None,dat costen moet der eren leuen,dat costen moet der eenre leuen,None,None,None
M2_07_082,nu hebbic de macht in mijn hant,None,nu hebbic de macht in mine hant,None,None,nv heb ick die machte in die hant.,None,None,nu hebbic die macht in mijn hant,nu hebbic die macht in mijn hant:,None,None,nv hebbic die macht inde hant,nu hebbic de macht in mine hant,None,None,None
M2_07_083,welc ic wille ic breke den bant,None,welker ic vrede den bant,None,None,welcker ick wille breeck ic den bant,None,None,welker ic wil brekic den bant,welker ic wille brekic den bant:,None,None,welker ic wille breken den cant,welker ic wille breke ic den bant,None,None,None
M2_07_084,ende maghet hare al vergheuen,None,ende mach hare al vergheuen,None,None,ende macht haer al vergeuen,None,None,ende macht haer al vergheuen,ende mach hare al vergeuen:,None,None,ende maecht haer al vergheuen,ende macht haer al vergheuen,None,None,None
M2_07_085,deene moeter laten den pant,None,emmer moet dene geuen den pant,None,None,immer moet deen quiten den pant,None,None,deen moet emmer biten den cant,deene moet emmer breken den bant:,None,None,emmer moet deen biten den tant,emmer moet de eene ghenieten den pant,None,None,None
M2_07_086,den liefsten die god oint vant,None,den liefste die god yet vant,den liefsten die ...,None,den liefsten die god ye vant,None,None,den liefsten die god ye vant,den liefsten die nature ie vant:,None,None,den besten die god ie vant,den hartsten die god ye gheuant,None,None,None
M2_07_087,hier toe sijn si verdreuen,None,hier toe zijn zij bedreuen,hiertoe sijn si verdreuen,None,hier toe sijn sy verdreuen,None,None,hier toe siin zij verdreuen,hier toe sijn si gedreuen:,None,None,hier toe sijn si verdreuen,hier toe zijn zij verdreuen,None,None,None
M2_07_088,ne liech mi niet als .i. triwant,None,en liegh mi niet als een truwant,liecht mi niet als een truwant,None,liecht mi niet als een truwant.,None,None,liecht mi niet als een truwant,en liech mi niet als een triwant:,None,None,en liecht mi niet als i. truwant,en liecht my niet als een truant,None,None,None
M2_07_089,maer sech mi an welken cant,None,mer segt mi an welker cant,maer sech mi an welken cant,None,maer segt mi ander welcker cant,None,None,maer zeght mi aen welken cant,maer sech mi ane welkere cant:,None,None,maer segt mi aen welken cant,maer seght my an welken cant,None,None,None
M2_07_090,dijn herte es bleuen,None,dine herte es bleuen,dijn herte es bleuen,None,dijn herte is gebleuen,None,None,diin herte es bleuen,es dijn herte bleuen:,None,None,dijn herte es bleuen,dijne herte es bleuen,None,None,None
M2_07_091,ende welke du liets sneuen,None,ende welke du liets sneiuen,ende welker du liets sneuen,None,ende welcker du liets sneuen/,None,None,ende welker du liets sneuen,ende de welke du liets sneuen:,None,None,ende welke du liets sneuen,ende welke du liets leuen,None,None,None
M2_08_092,iacop dins gheens vraghens waert,None,iacop dits gheen vraghens wairt,iacop dits geens vragens waert,None,iacop ten is gheen vragens waert.,None,None,iacop dits geens vragens waert,iacob dins geens vragens wart:,None,None,iacop dit en es geens vragens waert,iacob dit en es gheens vraghens wert,None,None,None
M2_08_093,die de waerheit niene spaert,None,die de wairheit niet en spairt,die de waerheit niet en spaert,None,die de waerheyt niet en spaert,None,None,die de waerheit niet en spaert,die de waerheit niet en spart:,None,None,die de waerheit niet en spaert,die de waerheit niet en spaert,None,None,None
M2_08_094,heuet dit saen ontbonden,None,heeft dit zaen ontbonden,heeft dit saen ontbonden,None,heeft dit saen ontbonden,None,None,heeft dit saen ontbonden,heeft dit saen ontbonden:,None,None,heeft dit saen ontbonden,heeft dit zaen ontbonden,None,None,None
M2_08_095,het es emmer der herten aert,None,het is emmer der harten aert,hets emmer der herten aert,None,hets emmer der herten aert.,None,None,hets emmer der herten aert,het es emmer der herten art:,None,None,hets emmer der herten aert,het es emmer der herten aert,None,None,None
M2_08_096,dat soe daer waert tijt ende vaert,None,dat so dair wert tijt ende vairt,dat sider waert tijt ende vaert,None,dat sy derwaerts tijt ende gaert,None,None,dat zij derwaert tijt ende vaert,dat si derwert tijt ende gart:,None,None,dat si daer waert tijt ende vaert,dat zoe daerwaert tiet ende vaert,None,None,None
M2_08_097,danen hare quamen die wonden,None,danen hare quamen die wonden,danen haer quamen die wonden,None,dan daen haer quamen de wonden,None,None,danen haer quamen die wonden,danen hare quamen die wonden:,None,None,danen haer quaemen die wonden,daenen haer quamen de wonden,None,None,None
M2_08_098,al sout al varen inder vaert,None,al soudt al varen inder vaert,al sout al varen ginderwaert,None,al sout al varen in die vaert.,None,None,al sout al varen ghinder waert,al soudt al varen hinder wart:,None,None,al sout al vaeren hinderwaert,al sout al varen hinderuaert,None,None,None
M2_08_099,wat so wel varens begaert,None,so wat dat wel varens begairt,dat weluarens begaert,None,dat weluarens begaert,None,None,al dat weluarens begheert,al dat wel varens begart:,None,None,al dat weluarens begaert,wat dat weluaerens begaert,None,None,None
M2_08_100,nu ende tallen stonden,None,nu ende te allen stonden,nv ende tallen stonden,None,nv ende tot allen stonden,None,None,nu ende tallen stonden,nu ende tallen stonden:,None,None,None,nu ende tallen stonden,None,None,None
M2_08_101,ic verloeste die mi therte bezwaert,None,jc lossede die mi therte verzwairt,jc verloeste die mi therte verswaert,None,ick loste die mi therte beswaert,None,None,ic verloste die mi therte bezwaert,jc verloeste die mi therte verswart:,None,None,None,jc verleeste die my therte bezwaert,None,None,None
M2_08_102,soudic hare dan doen smaken tswaert,None,soude ic hare laten smaken tzwairt,soudic haer laten smaken tswaert,None,soud ic haer laten smaken tswaert,None,None,soudic haer laten smaken tzweert,soudic haer laten smaken tswart:,None,None,None,soudic haer laten smaken tzwaert,None,None,None
M2_08_103,dat ware onder vonden,None,dat ware onderuonden,dat ware onderuonden,None,dat waer onderuonden,None,None,dat ware onderuonden/,dat ware ondervonden:,None,None,None,dat waere onderuonden,None,None,None
M2_08_104,meerre moert dan sonden,None,meerre mort danne zonden,meerder moert dan sonde,None,meerder moort dan sonden/,None,None,meerder moort dan sonden,meerre moert dan sonden:,None,None,None,meerder mort dan zonden,None,None,None
M2_09_105,tonghe lieghet maer therte niet,None,tonge liecht mer tharte niet,tonghe liecht mer therte niet,None,die tonghe liecht maer therte niet.,None,None,tonghe liecht maer therte niet,tonge liecht maer therte niet:,None,None,None,tonghe liecht maer therte niet,None,None,None
M2_09_106,want so wat dat herte ghebiet,None,want so wat tharte ghebiet,maer wat therte ghebiet,None,maer wat soe therte ghebiet,None,None,soe wat therte ghebiet,want so wat therte gebiedt:,None,None,None,want soe wat therte ghebiet,None,None,None
M2_09_107,wilmen emmer vulbringhen,None,wille men emmer volbringhen,dat wiltmen volbringen,None,wiltmen ymmer volbringhen,None,None,dat wiltmen volbringhen,dat wilt men emmer volbringen:,None,None,None,wiltmen emmer vulbringhen,None,None,None
M2_09_108,wat es naersins ghesciet,None,wat es nairchisuse ghesciet,wat es narsisus gesciet,None,wat is narciscus gheschiet,None,None,was es narsisus gheschiet,wat es narsiusse gesciet:,None,None,None,wat was narchisus ghesciet,None,None,None
M2_09_109,die sine vorme spieghelt ende siet,None,die sine vorme spieghelt ende siet,die sine vorme spiegelt ende siet,None,die sine vorme spieghelt ende siet,None,None,die sine forme spiegelt ende liet,die sine vorme spiegelt ende siet:,None,None,None,die zijne vorme spieghelt ende ziet,None,None,None
M2_09_110,int water sonder minghen,None,jnt water sonder minghen,jnt water sonder mingen,None,int water sonder minghen.,None,None,int water sonder minghen,jndwater sonder mingen:,None,None,None,jnt water sonder minghen,None,None,None
M2_09_111,hant ende mont hi dare waert biet,None,hant ende mont hi dair wairt biet,hant ende mont hi derwaert biet,None,hant ende mont hi derwaert biet,None,None,hant ende mont hij derwaert biet,hant ende mont hi daer toe biedt:,None,None,None,hant ende mont hi daerwaert biet,None,None,None
M2_09_112,hi bit hi claghet sijn verdriet,None,hi bid hi claghet zijn verdriet,hi bidt hi claecht sijn verdriet,None,hi bidt hi claecht sijn verdriet,None,None,hij bit hij claecht siin verdriet,hi bidt hi claecht sijn verdriet:,None,None,None,hij bidt ende claghet zijn verdriet,None,None,None
M2_09_113,natuere ne wils niet ghehinghen,None,nature en wils ghehinghen,natuere wils niet gehingen,None,natuere en wils ghehinghen,None,None,nature en wils niet ghehingen,nature en wouts niet gehingen:,None,None,None,nature en wils niet ghehinghen,None,None,None
M2_09_114,dat hem can ghehelpen niet,None,dat hem can ghehelpen yet,dat hem can gehulpen iet,None,dat hem can gehelpen yet.,None,None,datti hem can ghehelpen yet,dat hem conste gehulpen iet:,None,None,None,dat hem can ghehelpen yet,None,None,dat hem can gehulpen iet
